key,translation
language_change_warning,Please restart the game for the changes to take effect
language_name,English
new_game,New game
resume,Resume
result,Result
language,Language
load_game,Load game
exit_to_desktop,Exit to desktop
exit_to_main_menu,Exit to main menu
save,Save
gather,Gather
mine,Mine
mine_mine,Mine
chop,Chop
cut,Cut
chop_completely,Chop completely
cut_completely,Cut completely
сhop_automatically,Chop automatically
cut_automatically,Cut automatically
chop_now,Chop now
cut_now,Cut now
сhop_automatically_description,Automatically chop the plant after full growth
сut_automatically_description,Automatically cut the plant after full growth
hunt,Hunt
cancel,Cancel
destruct,Destruct
stone_tools,Stone tools
charcoal_kiln,Charcoal kiln
copper_smelting,Copper smelting
bronze_smelting,Bronze smelting
iron_smelting,Iron smelting
time_machine,Time machine
grain_processing,Grain processing
pottery,Pottery
brewing,Brewing
alcoholic_drinks,Alcoholic drinks
tanning,Tanning
animals_domestication,Animals domestication
cheesemaking,Cheesemaking
oven,Oven
agriculture,Agriculture
fertilizing,Fertilizing
weaving,Weaving
satiety,Satiety
energy,Energy
health,Health
age,Age
day,Day
settlers,Settlers
animals,Animals
wall,Wall
floor,Floor
hut,Hut
production,Production
storage,Storage
level,Level
defense,Defense
bridge,Bridge
paleolithic,Paleolithic
mesolithic,Mesolithic
neolithic,Neolithic
chalcolithic,Chalcolithic
bronze_age,Bronze Age
iron_age,Iron Age
fuel,Fuel
burial,Burial
consumption,Consumption
irrigation,Irrigation
sowing,Sowing
irrigate,Irrigate
fertilize,Fertilize
technologies,Technologies
rest,Rest
work,Work
sleep,Sleep
happiness,Happiness
nutrition,Nutrtion
time,Time
ingredients,Ingredients
hours,Hours
felling,Felling
gathering,Gathering
building,Building
farming,Farming
supplying,Supplying
ranching,Ranching
capacity,Capacity
resource,Resource
required_technology,Required technology
ration,Ration
growth_speed,Growth speed
growth_progress,Growth progress
days,days
food_drying,Food drying
fertilizer,Fertilizer
None,None
spinning,Spinning
new_settlers_arrived,New settlers arrived
new_technologies_available,New technologies available
required,Required
deposit,Deposit
recipe,Recipe
progress,Progress
crafting,Crafting
Pick,Pick
copy_settings,Copy settings
value,Value
trade,Trade
metallurgy,Metallurgy
open,Open
close,Close
clone,Clone
mechanisms,Mechanisms
experience_points,Experience points
world_settings,World settings
create,Create
back,Back
world_with_that_name_already_exists,World with that name already exists
world_name,World name
world_size,World size
cooking,Cooking
freshness,Freshness
durability,Durability
season,Season
spoilage_rate,Spoilage rate
per_day,per day
soil,Soil
moisture,Moisture
plant,Plant
name,Name
temperature,Temperature
protects_against_low_temperatures,Protects against low temperatures
priority,Priority
speed,Speed
spoiled,Spoiled
barley,Barley
flax,Flax
grape_bush,Grape bush
oak,Oak
pea,Pea
culinary_ingredients,Culinary ingredients
fertilizers,Fertilizers
resources,Resources
seeds,Seeds
food,Food
tools,Tools
clothes,Clothes
containers,Containers
summer,Summer
autumn,Autumn
winter,Winter
spring,Spring
woodcutting,Woodcutting
mining,Mining
hunting,Hunting
harvesting,Harvesting
planting,Planting
plowing,Plowing
fishing,Fishing
hauling,Hauling
wooden_cart,Wooden cart
wooden_plow,Wooden plow
copper_reaper,Copper reaper
copper,Copper
bronze,Bronze
iron,Iron
manure,Manure
wood,Wood
charcoal,Charcoal
stone,Stone
clay,Clay
leather,Leather
copper_ore,Copper ore
tin_ore,Tin ore
iron_ore,Iron ore
crushed_copper_ore,Crushed copper ore
crushed_tin_ore,Crushed tin ore
crushed_iron_ore,Crushed iron ore
fiber,Fiber
cloth,Cloth
yarn,Yarn
woven_clothing,Woven clothing
dry_skin,Dry skin
raw_skin,Raw skin
mudbrick,Mudbrick
settler_corpse,Settler corpse
stone_sickle,Stone sickle
copper_sickle,Copper sickle
bronze_sickle,Bronze sickle
iron_sickle,Iron sickle
stone_axe,Stone axe
copper_axe,Copper axe
bronze_axe,Bronze axe
iron_axe,Iron axe
stone_hoe,Stone hoe
copper_hoe,Copper hoe
bronze_hoe,Bronze hoe
iron_hoe,Iron hoe
stone_pick,Stone pick
copper_pick,Copper pick
bronze_pick,Bronze pick
iron_pick,Iron pick
wooden_spear,Wooden spear
stone_spear,Stone spear
copper_spear,Copper spear
bronze_spear,Bronze spear
iron_spear,Iron spear
wooden_harpoon,Wooden harpoon
stone_harpoon,Stone harpoon
copper_harpoon,Copper harpoon
bronze_harpoon,Bronze harpoon
iron_harpoon,Iron harpoon
sling,Sling
bow,Bow
crossbow,Crossbow
barley_seeds,Barley seeds
skins_outfit,Skins outfit
warm_fur_clothes,Warm fur clothes
warm_knitted_clothes,Warm knitted clothes
chainmail,Chainmail
leather_outfit,Leather outfit
ceramic_pot,Ceramic pot
unfired_pot,Unfired pot
pot_of_beer,Pot of beer
pot_of_wine,Pot of wine
pot_of_mead,Pot of mead
pot_of_water,Pot of water
pot_of_milk,Pot of milk
flour,Flour
grape,Grape
raisin,Raisin
raw_meat,Raw meat
dry_fish,Dry fish
dry_meat,Dry meat
raw_fish,Raw fish
number_of_fish,Number of fish
peas,Peas
cooked_meat,Cooked meat
cooked_fish,Cooked fish
flatbread,Flatbread
cheese,Cheese
hay,Hay
mudbrick_hut,Mudbrick hut
bloomery,Bloomery
used_to_smelting_metals_from_its_ores,Used to smelting metals from its ores
clay_barn,Clay barn
used_for_storing_resources,Used for storing resources
used_for_coal_production,Used for coal production
clay_deposit,Clay deposit
clay_hut,Clay hut
clay_oven,Clay oven
used_for_quick_cooking,Used for quick cooking
iron_smithy,Iron smithy
used_for_forging_iron_tools,Used for forging iron tools
copper_deposit,Copper deposit
crafter,Crafter
used_to_create_primitive_tools,Used to create primitive tools
dirt_path,Dirt path
dolmen,Dolmen
drop_spindle,Drop spindle
used_for_spinning_yarn,Used for spinning yarn
farm_plot,Farm plot
used_for_growing_plants,Used for growing plants
fermenting_pot,Fermenting pot
used_to_ferment_foods,Used to ferment foods
fishing_place,Fishing place
used_for_fishing,Used for fishing
fish_trap,Fish trap
food_dryer,Food dryer
used_for_drying_food,Used for drying food
grave,Grave
used_to_bury_the_dead,Used to bury the dead
hearth,Hearth
used_for_cooking,Used for cooking
iron_deposit,Iron deposit
kiln,Kiln
used_for_firing_ceramic_products,Used for firing ceramic products
warp_weighted_loom,Warp-weighted loom
used_to_weave_cloth,Used to weave cloth
mechanical_crusher,Mechanical crusher
used_to_crushing_resources,Used to crushing resources
millstone,Millstone
used_for_quick_grinding_of_grain,Used for quick grinding of grain
used_for_mining,Used for mining
mortar_and_pestle,Mortar and pestle
used_to_grinding_and_crushing_resources,Used to grinding and crushing resources
mudbrick_dryer,Mudbrick dryer
used_for_drying_adobe,Used for drying adobe
palisade,Palisade
barn,Barn
primitive_animal_dwelling,Primitive animal dwelling
used_to_cross_water,Used to cross water
skin_drying_rack,Skin drying rack
used_for_drying_skins,Used for drying skins
spinning_wheel,Spinning wheel
stick_hut,Stick hut
stockpile,Stockpile
copper_smithy,Copper smithy
used_for_forging_copper_and_bronze_tools,Used for forging copper and bronze tools
stone_deposit,Stone deposit
stone_floor,Stone floor
allows_creatures_to_move_faster,Allows creatures to move faster
primitive_dwelling,Primitive dwelling
stone_pieces,Stone pieces
stone_wall,Stone wall
tannery,Tannery
used_for_tanning_skins,Used for tanning skins
tin_deposit,Tin deposit
water_gathering_place,Water gathering place
used_to_collect_water,Used to collect water
well,Well
windmill,Windmill
windmill_description,Converts wind energy into mechanical energy
used_for_automated_grinding_of_grain,Used for automated grinding of grain
wooden_gate,Wooden gate
point_of_entry_to_a_space_which_is_enclosed_by_walls,Point of entry to a space which is enclosed by walls
wood_pieces,Wood pieces
workshop,Workshop
used_to_create_advanced_tools,Used to create advanced tools
sound_volume,Sound volume
accept,Accept
decline,Decline
tailors_workshop,Tailor's workshop
used_to_make_clothes,Used to make clothes
irrigation_canals,Irrigation canals
build_irrigation_canal,Build irrigation canal
destruct_irrigation_canal,Destruct irrigation canal
melee_damage,Melee damage
range_damage,Range damage
recharge_time,Recharge time
tool_type,Tool type
efficiency,Efficiency
chance,Chance
projectile_speed,Projectile speed
repeat,Repeat
fishing_rod,Fishing rod
mechanical_millstone,Mechanical millstone
energy_consumer,Energy consumer
energy_source,Energy source
connected,Connected
disconnected,Disconnected
travel_speed,Travel speed
beekeeping,Beekeeping
wild_bee_hive,Wild bee hive
bee_hive,Bee hive
beeswax,Beeswax
dandelion,Dandelion
pot_of_honey,Pot of honey
honeycomb,Honeycomb
flowers,Flowers
base_speed,Base speed
total_speed,Total speed
honey,Honey
bee_hive_description,Produces honey twice as efficiently as a wild hive
a_wild_bee_hive_has_appeared_near_you,A wild bee hive has appeared near you
future,Future
game_finished,Game finished
energy_consumption,Energy consumption
energy_output,Energy output
time_machine_description,Time travel device
energy_available,Availabe energy
return_to_the_future,Return to the future
windowed,Windowed
fullscreen,Fullscreen
open_game_data_folder,Open game data folder
credits,Credits
turn_on_music,Turn on music
turn_off_music,Turn off music
recipes,Recipes
aurochs,Aurochs
boar,Boar
tarpan,Tarpan
mouflon,Mouflon
workers,Workers
knowledge_points,Knowledge Points
knowledge,Knowledge
primitive_school_description,Used to earn knowledge points
skin_tent,Skin tent
edge_scrolling_camera,Edge scrolling camera
learning,Learning
left_click,Left click
right_click,Right click
enable_all,Enable all
disable_all,Disable all
pregnancy,Pregnancy
was_killed_by,{0} was killed by {1}
command_line,command line
x_died_of_starvation,{0} died of starvation
x_died_from_the_cold,{0} died from the cold
x_died_of_old_age,{0} died of old age
domesticate,Domesticate
slaughter,Slaughter
animal_male,Male
animal_female,Female
shelf_life_of_products,Shelf life of products
food_storage_hut_description,Used to store food. Keeps food fresh for a long time
food_storage_hut,Food storage hut
mammoth,Mammoth
copy,Copy
paste,Paste
brick,Brick
the_settlers_are_freezing,The settlers are freezing
the_settlers_are_starving,The settlers are starving
child,Child
adult,Adult
old,Old
animal_pen,Animal pen
animal_pen_description,Used for rest and feeding animals
animal_filter,Animal filter
the_settlers_are_unhappy,The settlers are unhappy
production_limit,Production limit
repeat_until_production_limits_are_reached,Repeat until production limits are reached
all,All
stored,Stored
wolf,Wolf
peaceful_mode,Peaceful mode
a_wild_animal_is_about_to_attack_your_settlement,A wild animal is about to attack your settlement!
weapon,Weapon
attack,Attack
equip,Equip
come_here,Come here
bone,Bone
bone_sickle,Bone sickle
bone_harpoon,Bone harpoon
bone_spear,Bone spear
bone_tools,Bone tools
items,Items
wolf_domestication,Wolf domestication
clean_up_manure,Clean up manure
cattle,Cattle
horse,Horse
pig,Pig
sheep,Sheep
dog,Dog
brick_floor,Brick floor
brick_wall,Brick wall
haystack,Haystack
haystack_description,Used to store hay
disband,Disband
automatically_mine_spawned_deposits,Automatically mine spawned deposits
mine_description,Used to extract resources from mines. Generates deposits around itself
shelf_life,Shelf life
raisin_buns,Raisin buns
rename,Rename
wool,Wool
wool_clothing,Wool clothing
wool_yarn,Wool yarn
wool_cloth,Wool cloth
new_settlers,New settlers
duration_x_minutes,Duration: {0} minutes
duration_x_hours,Duration: {0:0.0} hours
movement_speed,Movement speed
effects,Effects
herbalist_table,Herbalist table
herbalist_table_description,Used to create primitive medicines
food_poisoning_cure,Food poisoning cure
primitive_medicine,Primitive medicine
medicine,Medicine
causes,Causes
cures,Cures
productivity,Productivity
wind,Wind
calm,Calm
light,Light
moderate,Moderate
strong,Strong
depends_on_wind_speed,Depends on wind speed
mudbrick_wall,Mudbrick wall
mudbrick_floor,Mudbrick floor
torch,Torch
torch_description,Used to illuminate a space
energy_type,Energy type
kinetic,Kinetic
gas,Gas
knowledge_table,Knowledge table
pause,Pause
has_joined_your_settlement,{0} has joined your settlement
walls,Walls
wall_description,A structure used to create an impassable barrier
basket,Basket
number_of_uses,Number of uses
to_do_the_job_of_x_you_need_tools,To do the job of {0} you need tools
game_menu,Game menu
food_poisoning,Food poisoning
vomiting,Vomiting
sleeping,Sleeping
sleeping_on_the_ground,Sleeping on the ground
winter_cold,Winter cold
warm_clothing,Warm clothing
cozy_hut,Cozy hut
cozy_tent,Cozy tent
warm_place,Warm place
dirty_animal_pen,Dirty animal pen
hunger,Hunger
low_light,Low light
spawn_time,Spawn time
show_resource_in_the_general_list,Show resource in the general list
rain,Rain
stopped_due_to,Stopped due to: {0}
pea_seeds,Pea seeds
pea_soup,Pea soup
thresher,Thresher
thresher_description,Used to thresh plants to separate seeds from hay
sheaf_of_barley,Sheaf of barley
