key,translation,
language_change_warning,Değişikliklerin etkili olması için lütfen oyunu yeniden başlatın,
language_name,Türkçe,
new_game,Yeni oyun,
resume,Devam et,
result,Result,
language,Dil,
load_game,Oyunu yükle,
exit_to_desktop,Masaüstüne cik,
exit_to_main_menu,Ana menüye cik,
save,Kaydet,
gather,Topla,
mine,Kaz,
mine_mine,Madencilik,
chop,Bic,
cut,Kes,
chop_completely,Tamamen bic,
cut_completely,Tamamen kes,
сhop_automatically,Otomatik bic,
cut_automatically,Otomatik kes,
chop_now,Temelli kes,
cut_now,Temelli biç,
сhop_automatically_description,Yetistikten sonra otomatik bic,
сut_automatically_description,Yetistikten sonra otomatik kes,
hunt,Avla,
cancel,Iptal et,
destruct,Yik,
stone_tools,Tas aletler,
charcoal_kiln,Odun firini,
copper_smelting,Bakir eritme,
bronze_smelting,Bronz eritme,
iron_smelting,Demir eritme,
time_machine,Zaman makinesi,
grain_processing,Tahil isleme,
pottery,comlekcilik,
brewing,Alkol yapimi,
alcoholic_drinks,Alkollü icecekler,
tanning,Deri isleme,
animals_domestication,Hayvan evcillestirme,
cheesemaking,Peynir yapimi,
oven,Firin,
agriculture,Tarim,
fertilizing,Gübreleme,
weaving,Dokumacilik,
satiety,Tokluk,
energy,Enerji,
health,Can,
age,Yas,
day,Gün,
settlers,Yerliler,
animals,Hayvanlar,
wall,Duvar,
floor,Zemin,
hut,Kulübe,
production,Üretim,
storage,Depolama,
religion,Din,
level,Seviye,
defense,Savunma,
bridge,Koprü,
paleolithic,Paleolitik,
mesolithic,Mesolitik,
neolithic,Neolitik,
chalcolithic,Kaltolitik,
bronze_age,Bronz cagi,
iron_age,Demir cagi,
fuel,Yakit,
burial,Cenaze,
consumption,Tüketim,
irrigation,Sulama yapmak,
sowing,Ekme,
irrigate,Sulama,
fertilize,Gübreleme,
technologies,Teknolojiler,
rest,Dinlenmek,
work,calismak,
sleep,Uyumak,
happiness,Mutluluk,
nutrition,Beslenme,
time,Zaman,
ingredients,Icindekiler,
hours,Saatler,
felling,Odunculuk,
gathering,Toplamak,
building,Insa etmek,
farming,Tarim,
supplying,Tasimak,
ranching,Ciftcilik,
capacity,Kapasite,
per hour,Saat basi,
resource,Kaynak,
required_technology,Gerekli teknoloji,
ration,Ration,
growth_speed,Büyüme hizi,
growth_progress,Büyüme ilerlemesi,
days,Günler,
food_drying,Yemek kurutmaligi,
fertilizer,Gübre,
None,None,
spinning,Spinning,
new_settlers_arrived,Yeni yerliler geldi,
new_technologies_available,Yeni teknolojiler mevcut,
required,Gerekli,
deposit,Depozito,
recipe,Tarif,
progress,Ilerleme,
crafting,Üretim,
Pick,Topla,
copy_settings,Ayarlari kopyala,
value,Deger,
trade,Ticaret,
metallurgy,Metalurji,
open,Ac,
close,Kapat,
clone,Kopyala,
mechanisms,Mekanizmalar,
experience_points,Tecrübe puanlari,
world_settings,Dünya ayarlari,
create,Olustur,
back,Geri,
world_with_that_name_already_exists,Ayni isimli dünya var,
world_name,Dünya adi,
world_size,Dünya boyutu,
cooking,Yemek pisirme,
freshness,Tazelik,
durability,Dayaniklilik,
season,Mevsim,
spoilage_rate,Bozulma orani,
per_day,Günlük,
soil,Toprak,
moisture,Nem,
plant,Bitki,
name,Isim,
temperature,Sicaklik,
protects_against_low_temperatures,Düsük sicakliklara karsi direnc,
priority,oncelik,
speed,Hiz,
spoiled,Cürüdü,
barley,Arpa,
flax,Keten,
grape_bush,Üzüm calisi,
oak,Mese,
pea,Bezelye,
culinary_ingredients,Mutfak malzemeleri,
fertilizers,Gübreler,
resources,Kaynaklar,
seeds,Tohumlar,
food,Yiyecek,
tools,Aletler,
clothes,Giysiler,
containers,Containers,
summer,Yaz,
autumn,Sonbahar,
winter,Kis,
spring,Ilkbahar,
woodcutting,Odunculuk,
mining,Madencilik,
hunting,Avcilik,
harvesting,Hasat,
planting,Ekim,
plowing,ciftcilik,
fishing,Balikcilik,
hauling,Tasima,
wooden_cart,Ahsap araba,
wooden_plow,Ahsap saban,
copper_reaper,Copper reaper,
copper,Bakir,
bronze,Bronz,
iron,Demir,
manure,Gübre,
wood,Odun,
charcoal,Odun komürü,
stone,Tas,
clay,Kil,
leather,Deri,
copper_ore,Bakir cevheri,
tin_ore,Kalay cevheri,
iron_ore,Demir cevheri,
crushed_copper_ore,Bakir tozu,
crushed_tin_ore,Kalay tozu,
crushed_iron_ore,Demir tozu,
fiber,Lif,
cloth,Kumas,
yarn,Iplik,
woven_clothing,Woven clothing,
dry_skin,Kurutulmus deri,
raw_skin,Ham deri,
mudbrick,Kerpic,
settler_corpse,Yerli cesedi,
stone_sickle,Tas orak,
copper_sickle,Bakir orak,
bronze_sickle,Bronz orak,
iron_sickle,Demir orak,
stone_axe,Tas balta,
copper_axe,Bakir balta,
bronze_axe,Bronz balta,
iron_axe,Demir balta,
stone_hoe,Tas capa,
copper_hoe,Bakir capa,
bronze_hoe,Bronz capa,
iron_hoe,Demir capa,
stone_pick,Tas kazma,
copper_pick,Bakir kazma,
bronze_pick,Bronz kazma,
iron_pick,Demir kazma,
wooden_spear,Ahsap mizrak,
stone_spear,Tas mizrak,
copper_spear,Bakir mizrak,
bronze_spear,Bronz mizrak,
iron_spear,Demir mizrak,
wooden_harpoon,Ahsap zipkin,
stone_harpoon,Tas zipkin,
copper_harpoon,Bakir zipkin,
bronze_harpoon,Bronz zipkin,
iron_harpoon,Demir zipkin,
sling,Sapan,
bow,Yay,
crossbow,Tatar yayi,
barley_seeds,Arpa tohumu,
skins_outfit,Deri kiyafetler,
warm_fur_clothes,Kürk kiyafet,
warm_knitted_clothes,Warm knitted clothes,
chainmail,Zincir zirh,
leather_outfit,Deri kiyafet,
ceramic_pot,Seramik comlek,
unfired_pot,Pismemis comlek,
pot_of_beer,bira comlegi,
pot_of_wine,sarap comlegi,
pot_of_mead,likor comlegi,
pot_of_water,su comlegi,
pot_of_milk,süt comlegi,
flour,Un,
grape,üzüm,
raisin,kuru üzüm,
raw_meat,Cig et,
dry_fish,Kurutulmus balik,
dry_meat,Kurutulmus et,
raw_fish,Cig balik,
number_of_fish,Balik sayisi,
peas,Bezelye,
cooked_meat,Pismis et,
