key,translation
language_change_warning,Будь ласка перезавантажте гру щоб зміни набрали чинності
language_name,Українська
new_game,Нова гра
resume,Продовжити
result,Результат
language,Мова
load_game,Завантажити гру
exit_to_desktop,Вийти на робочий стіл
exit_to_main_menu,Вийти в головне меню
save,Зберегти
gather,Збирати
mine,Видобувати
mine_mine,Шахта
chop,Зрубати
cut,Зрізати
chop_completely,Зрубати повністю
cut_completely,Зрізати повністю
сhop_automatically,Зрубати автоматично
cut_automatically,Зрізати автоматично
chop_now,Зрубати вже
cut_now,Зрізати вже
сhop_automatically_description,Автоматично зрубати рослинку після повного дозрівання
сut_automatically_description,Автоматично зрізати рослинку після повного дозрівання
hunt,Полювати
cancel,Відмінити
destruct,Зруйнувати
stone_tools,Кам'яні інструменти
charcoal_kiln,Вуглевипалювальна піч
copper_smelting,Виплавлення міді
bronze_smelting,Виплавлення бронзи
iron_smelting,Виплавлення заліза
time_machine,Машина часу
grain_processing,Обробка зерна
pottery,Гончарство
brewing,Пивоваріння
alcoholic_drinks,Алкогольні напої
tanning,Вичинка
animals_domestication,Одомашнення тварин
cheesemaking,Сироваріння
oven,Піч
agriculture,Землеробство
fertilizing,Добриво
weaving,Ткацтво
satiety,Ситість
energy,Енергія
health,Здоров'я
age,Вік
day,День
settlers,Поселенці
animals,Тваринки
wall,Стіна
floor,Підлога
hut,Хатина
production,Виробництво
storage,Сховище
level,Рівень
defense,Захист
bridge,Міст
paleolithic,Палеоліт
mesolithic,Мезоліт
neolithic,Неоліт
chalcolithic,Халколіт
bronze_age,Бронзовий вік
iron_age,Залізний вік
fuel,Паливо
burial,Поховання
consumption,Споживання
irrigation,Зрошення
sowing,Посів
irrigate,Зрошувати
fertilize,Удобрювати
technologies,Технології
rest,Відпочинок
work,Робота
sleep,Сон
happiness,Щастя
nutrition,Поживність
time,Час
ingredients,Інгредієнти
hours,Годин
felling,Вирубка
gathering,Збираня
building,Будівництво
farming,Землеробство
supplying,Постачання
ranching,Скотарство
capacity,Місткість
resource,Ресурс
required_technology,Необхідна технологія
ration,Раціон
growth_speed,Швидкість росту
growth_progress,Прогрес росту
days,днів
food_drying,Сушіння їжі
fertilizer,Добриво
None,None
spinning,Прядіння
new_settlers_arrived,Прибули нові жителі
new_technologies_available,Доступні нові технології
required,Необхідно
deposit,Родовище
recipe,Рецепт
progress,Прогрес
crafting,Виробництво
Pick,Кайло
copy_settings,Копіювати налаштування
value,Ціна
trade,Торгувати
metallurgy,Металургія
open,Відчинити
close,Зачинити
clone,Клонувати
mechanisms,Механізми
experience_points,Досвід
world_settings,Налаштування світу
create,Створити
back,Повернутись
world_with_that_name_already_exists,Світ з таким ім'ям уже існує
world_name,Назва світу
world_size,Розмір світу
cooking,Куховарство
freshness,Свіжість
durability,Міцність
season,Пора року
spoilage_rate,Швидкість псування
per_day,за день
soil,Грунт
moisture,Вологість
plant,Рослинка
name,Назва
temperature,Температура
protects_against_low_temperatures,Захищає від низьких температур
priority,Пріорітет
speed,Швидкість
spoiled,Зіпсований
barley,Ячмінь
flax,Льон
grape_bush,Кущ винограду
oak,Дуб
pea,Горох
culinary_ingredients,Кулінарні інгредієнти
fertilizers,Добриво
resources,Ресурси
seeds,Сім'я
food,Їжа
tools,Приладдя
clothes,Одяг
containers,Контейнери
summer,Літо
autumn,Осінь
winter,Зима
spring,Весна
woodcutting,Рубання
mining,Гірнича справа
hunting,Мисливство
harvesting,Збирання врожаю
planting,Planting
plowing,Оранка
fishing,Риболовля
hauling,Транспортування
wooden_cart,Деревяний візок
wooden_plow,Деревяний плуг
copper_reaper,Мідна жатка
copper,Мідь
bronze,Бронза
iron,Залізо
manure,Гній
wood,Деревина
charcoal,Вугілля
stone,Камінь
clay,Глина
leather,Шкіра
copper_ore,Мідна руда
tin_ore,Оловяна руда
iron_ore,Залізна руда
crushed_copper_ore,Подрібн.мідна руда
crushed_tin_ore,Подрібн.оловяна руда
crushed_iron_ore,Подрібн.залізна руда
fiber,Волокно
cloth,Тканина
yarn,Пряжа
woven_clothing,Тканий одяг
dry_skin,Сушена шкіра
raw_skin,Сира шкіра
mudbrick,Глиняна цегла
settler_corpse,Мрець
stone_sickle,Камяний серп
copper_sickle,Мідний серп
bronze_sickle,Бронзовий серп
iron_sickle,Залізний серп
stone_axe,Камяна сокира
copper_axe,Мідна сокира
bronze_axe,Бронзова сокира
iron_axe,Залізна сокира
stone_hoe,Камяна мотика
copper_hoe,Мідна мотика
bronze_hoe, Бронзова мотика
iron_hoe,Залізна мотика
stone_pick,Камяне кайло
copper_pick,Мідне кайло
bronze_pick,Бронзове кайло
iron_pick,Залізне кайло
wooden_spear,Деревяний спис
stone_spear,Камяний спис
copper_spear,Мідний спис
bronze_spear,Бронзовий спис
iron_spear,Залізний спис
wooden_harpoon,Деревяний гарпун
stone_harpoon,Камяний гарпун
copper_harpoon,Мідний гарпун
bronze_harpoon,Бронзовий гарпун
iron_harpoon,Залізний гарпун
sling,Праща
bow,Лук
crossbow,Арбалет
barley_seeds,Зерно ячменю
skins_outfit,Шкіряний одяг
warm_fur_clothes,Теплий одяг з хутра
warm_knitted_clothes,Теплий вязаний одяг
chainmail,Кільчуга
leather_outfit,Шкіряний одяг
ceramic_pot,Керамічний горщик
unfired_pot,Unfired pot
pot_of_beer,Глечик з пивом
pot_of_wine,Глечик з вином
pot_of_mead,Глечик з медовухою
pot_of_water,Глечик з водою
pot_of_milk,Глечик з молоком
flour,Мука
grape,Виноград
raisin,Родзинки
raw_meat,Сире мясо
dry_fish,Сушена риба
dry_meat,Сушене мясо
raw_fish,Сира риба
number_of_fish,Кількість риби
peas,Горох
cooked_meat,Смажене мясо
cooked_fish,Смажена риба
flatbread,Паляниця
cheese,Сир
hay,Сіно
mudbrick_hut,Саманна хатина
bloomery,Доменна піч
used_to_smelting_metals_from_its_ores,Використовується для виплавлення металів з руд
clay_barn,Глиняна комора
used_for_storing_resources,Використовується для зберігання ресурсів
used_for_coal_production,Використовується для виготовлення вугілля
clay_deposit,Родовище глини
clay_hut,Глиняна хатинка
clay_oven,Глиняна піч
used_for_quick_cooking,Використовується для швидкого приготування їжі
iron_smithy,Залізна кузня
used_for_forging_iron_tools,Використовується для кування залізних інструментів
copper_deposit,Родовище міді
crafter,Крафтер
used_to_create_primitive_tools,Використовується для виготовлення примітивних інструментів
dirt_path,Грунтова стежина
dolmen,Дольмен
drop_spindle,Веретено
used_for_spinning_yarn,Використовується для прядіння пряжі
farm_plot,Фермерська ділянка
used_for_growing_plants,Використовується для вирощування рослинок
fermenting_pot,Казан для бродіння
used_to_ferment_foods,Використовується для виготовлення методом бродіння
fishing_place,Місце для рибальства
used_for_fishing,Використовується для рибальства
fish_trap,Пастка для риб
food_dryer,Сушарка для їжі
used_for_drying_food,Використовується для сушіння їжі
grave,Могилка
used_to_bury_the_dead,Використовується для поховання померлих
hearth,Ватра
used_for_cooking,Використовується для приготування їжі
iron_deposit,Родовище заліза
kiln,Піч для випалювання
used_for_firing_ceramic_products,Використовується для випалювання керамічних виробів
warp_weighted_loom,Warp-weighted loom
used_to_weave_cloth,Використовується для виготовлення тканин
mechanical_crusher,Механічний подрібнювач
used_to_crushing_resources,Використовується для подрібнення ресурсів
millstone,Жорна
used_for_quick_grinding_of_grain,Використовується для швидкого помолу зерна
used_for_mining,Використовується для добування корисних копалин
mortar_and_pestle,Ступка з товкачиком
used_to_grinding_and_crushing_resources,Використовується для подрібнення та розкришення ресурсів
mudbrick_dryer,Сушарка для саману
used_for_drying_adobe,Використовується для сушіння саману
palisade,Частокіл
barn,Загін
primitive_animal_dwelling,Примітивне житло для тваринок
used_to_cross_water,Використовується щоб перетнути водну перешкоду
skin_drying_rack,Сушарка для шкіри
used_for_drying_skins,Використовується для сушіння шкіри
spinning_wheel,Прядка
stick_hut,Хатина з палиць
stockpile,Склад
copper_smithy,Мідна кузня
used_for_forging_copper_and_bronze_tools,Використовується для виковування мідних та бронзових виробів
stone_deposit,Родовище каміння
stone_floor,Камяна підлога
allows_creatures_to_move_faster,Дозволяє швидше пересуватись жителям
primitive_dwelling,Примітивне житло
stone_pieces,Шматочки каміння
stone_wall,Камяна стіна
tannery,Дубильня
used_for_tanning_skins,Використовується для дублення шкіри
tin_deposit,Родовище олова
water_gathering_place,Місця для збирання води
used_to_collect_water,Використовується для збирання води
well,Колодязь
windmill,Вітряний млин
used_for_automated_grinding_of_grain,Використовується для автоматичного помолу зерна
wooden_gate,Дерев'яні ворота
point_of_entry_to_a_space_which_is_enclosed_by_walls,Прохід в стіні що зачиняється
wood_pieces,Шматочки дерева
workshop,Майстерня
used_to_create_advanced_tools,Використовується для створення продвинутых інструментів
sound_volume,Гучність звуку
accept,Погодитись
decline,Відмінити
tailors_workshop,Кравецька майстерня
used_to_make_clothes,Використовується для створення одягу
irrigation_canals,Орошувальні канали
build_irrigation_canal,Побудувати орошувальний канал
destruct_irrigation_canal,Зруйнувати орошувальний канал
melee_damage,Пошкодження в ближньому бою
range_damage,Пошкодження в бою на відстані
recharge_time,Час перезаряджання
