key,translation
language_change_warning,请重新激活游戏使变更生效。
language_name,Simplified Chinese
new_game,新游戏
resume,回到游戏
result,结果
language,语言
load_game,载入游戏
exit_to_desktop,回到桌面
exit_to_main_menu,回到主菜单
save,储存
gather,收集
mine,开采
mine_mine,矿井
chop,砍伐
cut,收割
chop_completely,完全砍伐
cut_completely,完全收割
сhop_automatically,自动砍伐
cut_automatically,自动收割
chop_now,现在砍伐
cut_now,现在收割
сhop_automatically_description,自动砍伐成熟植物。
сut_automatically_description,自动收割成熟植物。
hunt,狩猎
cancel,取消
destruct,拆除
stone_tools,石制工具
charcoal_kiln,炭窯
copper_smelting,冶炼铜矿
bronze_smelting,冶炼青铜矿
iron_smelting,冶炼铁矿
time_machine,时间机器
grain_processing,谷物加工
pottery,陶器
brewing,酿造
alcoholic_drinks,酒精饮料
tanning,鞣制皮革
animals_domestication,驯化动物
cheesemaking,制作奶酪
oven,窯炉
agriculture,农业
fertilizing,施肥
weaving,编织
satiety,饱腹
energy,体力
health,健康
age,年龄
day,天
settlers,居民
animals,动物
wall,墙壁
floor,地板
hut,房屋
production,生产
storage,貯存
religion,信仰
level,等级
defense,防御
bridge,桥梁
paleolithic,旧石器时代
mesolithic,中石器时代
neolithic,新石器时代
chalcolithic,红铜时代
bronze_age,青铜时代
iron_age,铁器时代
fuel,燃料
burial,葬礼
consumption,消耗
irrigation,浇水
sowing,播种
irrigate,浇水
fertilize,施肥
technologies,科技研究
rest,休息
work,工作
sleep,睡眠
happiness,幸福
nutrition,营养
time,时间
ingredients,原料
hours,小时
felling,砍伐
gathering,收集
building,建造
farming,农耕
supplying,供应
ranching,畜牧
capacity,容量
per hour,每小时
resource,资源
required_technology,需要科技研究
ration,食物配给
growth_speed,成长速度
growth_progress,成长进度
days,天
food_drying,食品干燥
fertilizer,肥料
None,None
spinning,紡纱
new_settlers_arrived,新的居民已抵达。
new_technologies_available,可解锁新技术。
required,需要
deposit,矿床
recipe,配方
progress,进展
crafting,制造
Pick,掘
copy_settings,复制设定
value,价值
trade,交易
metallurgy,冶炼
open,开
close,关
clone,复制
mechanisms,机械
experience_points,经验值
world_settings,世界设定
create,创造
back,返回
world_with_that_name_already_exists,已存在同名世界。
world_name,世界名称
world_size,世界规模
cooking,料理
freshness,新鲜
durability,耐久
season,季节
spoilage_rate,腐败度
per_day,每天
soil,土壤
moisture,水分
plant,植物
name,名字
temperature,温度
protects_against_low_temperatures,防止低温。
priority,优先度
speed,速度
spoiled,变质
barley,大麦
flax,亚麻
grape_bush,葡萄藤
oak,橡树
pea,豌豆
culinary_ingredients,料理食材
fertilizers,肥料
resources,资源
seeds,种子
food,食物
tools,工具
clothes,服装
containers,容器
summer,夏
autumn,秋
winter,冬
spring,春
woodcutting,伐木
mining,开采
hunting,狩猎
harvesting,采收
planting,种植
plowing,耕作
fishing,捕鱼
hauling,搬运
wooden_cart,木车
wooden_plow,木犁
copper_reaper,铜收割机
copper,铜錠
