key,translation
language_change_warning,請重新啟動遊戲使變更生效。
language_name,Traditional Chinese
new_game,新遊戲
resume,回到遊戲
result,結果
language,語言
load_game,載入遊戲
exit_to_desktop,回到桌面
exit_to_main_menu,回到主選單
save,儲存
gather,收集
mine,開採
mine_mine,礦井
chop,砍伐
cut,收割
chop_completely,完全砍伐
cut_completely,完全收割
сhop_automatically,自動砍伐
cut_automatically,自動收割
chop_now,現在砍伐
cut_now,現在收割
сhop_automatically_description,自動砍伐成熟植物。
сut_automatically_description,自動收割成熟植物。
hunt,狩獵
cancel,取消
destruct,拆除
stone_tools,石製工具
charcoal_kiln,炭窯
copper_smelting,冶煉銅礦
bronze_smelting,冶煉青銅礦
iron_smelting,冶煉鐵礦
time_machine,時間機器
grain_processing,穀物加工
pottery,陶器
brewing,釀造
alcoholic_drinks,酒精飲料
tanning,鞣製皮革
animals_domestication,馴化動物
cheesemaking,製作起士
oven,窯爐
agriculture,農業
fertilizing,施肥
weaving,編織
satiety,飽腹
energy,體力
health,健康
age,年齡
day,天
settlers,居民
animals,動物
wall,牆壁
floor,地板
hut,房屋
production,生產
storage,貯存
religion,信仰
level,等級
defense,防禦
bridge,橋梁
paleolithic,舊石器時代
mesolithic,中石器時代
neolithic,新石器時代
chalcolithic,紅銅時代
bronze_age,青銅時代
iron_age,鐵器時代
fuel,燃料
burial,葬禮
consumption,消耗
irrigation,澆水
sowing,播種
irrigate,澆水
fertilize,施肥
technologies,科技研究
rest,休息
work,工作
sleep,睡眠
happiness,幸福
nutrition,營養
time,時間
ingredients,原料
hours,小時
felling,砍伐
gathering,收集
building,建造
farming,農耕
supplying,供應
ranching,畜牧
capacity,容量
per hour,每小時
resource,資源
required_technology,需要科技研究
ration,食物配給
growth_speed,成長速度
growth_progress,成長進度
days,天
food_drying,食品乾燥
fertilizer,肥料
None,None
spinning,紡紗
new_settlers_arrived,新的居民已抵達。
new_technologies_available,可解鎖新技術。
required,需要
deposit,礦床
recipe,配方
progress,進展
crafting,製造
Pick,掘
copy_settings,複製設定
value,價值
trade,交易
metallurgy,冶煉
open,開
close,關
clone,複製
mechanisms,機械
experience_points,經驗值
world_settings,世界設定
create,創造
back,返回
world_with_that_name_already_exists,已存在同名世界。
world_name,世界名稱
world_size,世界規模
cooking,料理
freshness,新鮮
durability,耐久
season,季節
spoilage_rate,腐敗度
per_day,每天
soil,土壤
moisture,水分
plant,植物
name,名字
temperature,溫度
protects_against_low_temperatures,防止低溫。
priority,優先度
speed,速度
spoiled,變質
barley,大麥
flax,亞麻
grape_bush,葡萄藤
oak,橡樹
pea,豌豆
culinary_ingredients,料理食材
fertilizers,肥料
resources,資源
seeds,種子
food,食物
tools,工具
clothes,服裝
containers,容器
summer,夏
autumn,秋
winter,冬
spring,春
woodcutting,伐木
mining,開採
hunting,狩獵
harvesting,採收
planting,種植
plowing,耕作
fishing,捕魚
hauling,搬運
wooden_cart,木車
wooden_plow,木犁
copper_reaper,銅收割機
copper,銅錠
bronze,青銅錠
iron,鐵錠
manure,糞便
wood,木材
charcoal,木炭
stone,石材
clay,黏土
leather,熟皮革
copper_ore,銅礦
tin_ore,錫礦
iron_ore,鐵礦
crushed_copper_ore,碎銅礦
crushed_tin_ore,碎錫礦
crushed_iron_ore,碎鐵礦
fiber,纖維
cloth,布料
yarn,紗線
woven_clothing,編織服裝
dry_skin,乾皮革
raw_skin,生皮革
mudbrick,泥磚
settler_corpse,居民屍體
stone_sickle,石鐮刀
copper_sickle,銅鐮刀
bronze_sickle,青銅鐮刀
iron_sickle,鐵鐮刀
stone_axe,石斧
copper_axe,銅斧
bronze_axe,青銅斧
iron_axe,鐵斧
stone_hoe,石鋤頭
copper_hoe,銅鋤頭
bronze_hoe,青銅鋤頭
iron_hoe,鐵鋤頭
stone_pick,石鎬
copper_pick,銅鎬
bronze_pick,青銅鎬
iron_pick,鐵鎬
wooden_spear,木矛
stone_spear,石矛
copper_spear,銅矛
bronze_spear,青銅矛
iron_spear,鐵矛
wooden_harpoon,木魚叉
stone_harpoon,石魚叉
copper_harpoon,銅魚叉
bronze_harpoon,青銅魚叉
