key,translation
language_change_warning,"Пожалуйста, перезапустите игру, чтобы изменения вступили в силу"
language_name,Русский
new_game,Новая игра
resume,Продолжить
result,Результат
language,Язык
load_game,Загрузить игру
exit_to_desktop,Выйти на рабочий стол
exit_to_main_menu,Выйти в главное меню
save,Сохранить
gather,Собирать
mine,Добывать
mine_mine,Шахта
chop,Срубить
cut,Срезать
chop_completely,Срубить полностью
cut_completely,Срезать полностью
сhop_automatically,Срубить автоматически
cut_automatically,Срезать автоматически
chop_now,Срубить сейчас
cut_now,Срезать сейчас
сhop_automatically_description,Автоматически срубить растение после полного произрастания
сut_automatically_description,Автоматически срезать растение после полного произрастания
hunt,Охотиться
cancel,Отменить
destruct,Разрушить
stone_tools,Каменные инструменты
charcoal_kiln,Углевыжигательная печь
copper_smelting,Выплавка меди
bronze_smelting,Выплавка бронзы
iron_smelting,Выплавка железа
time_machine,Машина времени
grain_processing,Обработка зерна
pottery,Гончарное дело
brewing,Пивоварение
alcoholic_drinks,Алкогольные напитки
tanning,Дубление
animals_domestication,Одомашнивание животных
cheesemaking,Сыроделие
oven,Печь
agriculture,Земледелие
fertilizing,Удобрение
weaving,Ткачество
satiety,Сытость
energy,Энергия
health,Здоровье
age,Возраст
day,День
settlers,Поселенцы
animals,Животные
wall,Стена
floor,Пол
hut,Хижина
production,Производство
storage,Хранилище
level,Уровень
defense,Защита
bridge,Мост
paleolithic,Палеолит
mesolithic,Мезолит
neolithic,Неолит
chalcolithic,Халколит
bronze_age,Бронзовый век
iron_age,Железный век
fuel,Топливо
burial,Захоронение
consumption,Потребление
irrigation,Орошение
sowing,Посев
irrigate,Орошать
fertilize,Удобрять
technologies,Технологии
rest,Отдых
work,Работа
sleep,Сон
happiness,Счастье
nutrition,Питательность
time,Время
ingredients,Ингредиенты
hours,Часов
felling,Рубка
gathering,Сбор
building,Строительство
farming,Земледелие
supplying,Доставка
ranching,Животноводство
capacity,Вместимость
resource,Ресурс
required_technology,Требуемая технология
ration,Рацион
growth_speed,Скорость роста
growth_progress,Прогресс роста
days,дней
food_drying,Сушка еды
fertilizer,Удобрение
None,None
spinning,Прядение
new_settlers_arrived,Прибыли новые поселенцы
new_technologies_available,Доступны новые технологии
required,Требуется
deposit,Залежь
recipe,Рецепт
progress,Прогресс
crafting,Производство
Pick,Кирка
copy_settings,Копировать настройки
value,Цена
trade,Торговать
metallurgy,Металлургия
open,Открыть
close,Закрыть
clone,Клонировать
mechanisms,Механизмы
experience_points,Очки опыта
world_settings,Настройки мира
create,Создать
back,Назад
world_with_that_name_already_exists,Мир с таким именем уже существует
world_name,Наименование мира
world_size,Размер мира
cooking,Готовка
freshness,Свежесть
durability,Прочность
season,Сезон
spoilage_rate,Скорость порчи
per_day,в день
soil,Почва
moisture,Влажность
plant,Растение
name,Наименование
temperature,Температура
protects_against_low_temperatures,Защищает от низких температур
