key,translation
language_change_warning,"Por favor, reinicie o jogo para que as alterações tenham efeito"
language_name,Português Brasileiro
new_game,Novo jogo
resume,Continuar
result,Resultado
language,Idioma
load_game,Carregar jogo
exit_to_desktop,Sair para a área de trabalho
exit_to_main_menu,Sair para o menu principal
save,Salvar
gather,Coletar
mine,Minerar
mine_mine,Minha
chop,Cortar
cut,Colher
chop_completely,Cortar completamente
cut_completely,Colher completamente
сhop_automatically,Cortar automaticamente
cut_automatically,Colher automaticamente
chop_now,Cortar agora
cut_now,Colher agora
сhop_automatically_description,Corte automaticamente a planta após o crescimento completo
сut_automatically_description,Colher automaticamente a planta após o crescimento completo
hunt,Caçar
cancel,Cancelar
destruct,Destruir
stone_tools,Ferramentas de pedra
charcoal_kiln,Forno à carvão
copper_smelting,Fundição de cobre
bronze_smelting,Fundição de bronze
iron_smelting,Fundição de ferro
time_machine,Máquina do tempo
grain_processing,Processamento de grão
pottery,Cerâmica
brewing,Fermentação
alcoholic_drinks,Bebidas alcóolicas
tanning,Curtume
animals_domestication,Domesticação de animais
cheesemaking,Fabricação de queijo
oven,Forno
agriculture,Agricultura
fertilizing,Fertilização
weaving,Tecelagem
satiety,Saciedade
energy,Energia
health,Saúde
age,Idade
day,Dia
settlers,Colonos
animals,Animais
wall,Muro
floor,Piso
hut,Barraca
production,Produção
storage,Armazenamento
level,Nível
defense,Defesa
bridge,Ponte
paleolithic,Paleolítico
mesolithic,Mesolítico
neolithic,Neolítico
chalcolithic,Calcolítico
bronze_age,Era do Bronze
iron_age,Era do Ferro
fuel,Combustível
burial,Sepultamento
consumption,Consumo
irrigation,Irrigação
sowing,Semeadura
irrigate,Irrigar
fertilize,Fertilizar
technologies,Tecnologias
rest,Descanso
work,Trabalho
sleep,Sono
happiness,Felicidade
nutrition,Nutrição
time,Tempo
ingredients,Ingredientes
hours,Horas
felling,Abate
gathering,Coleta
building,Construção
farming,Agricultura
supplying,Reabastecimento
ranching,Pecuária
capacity,Capacidade
resource,Recurso
required_technology,Tecnologia necessária
ration,Ração
growth_speed,Vel. de crescimento
growth_progress,Progresso do crescimento
days,dias
food_drying,Desidratação
fertilizer,Fertilizante
None,None
spinning,Fiação
new_settlers_arrived,Novos colonos chegaram
new_technologies_available,Novas tecnologias disponíveis
required,Necessário
deposit,Depósito
recipe,Receita
progress,Progresso
crafting,Criação
Pick,picareta
copy_settings,Copiar configurações
value,Valor
trade,Troca
metallurgy,Metalurgia
open,Abrir
close,Fechar
clone,Clone
mechanisms,Mecanismos
experience_points,Pontos de experiência
world_settings,Configurações do mundo
create,Criar
back,Voltar
world_with_that_name_already_exists,Um mundo com este nome já existe
world_name,Nome do mundo
world_size,Tamanho do mundo
cooking,Cozinha
freshness,Frescor
durability,Durabilidade
season,Temporada
spoilage_rate,Taxa de deterioração
per_day,por dia
soil,Solo
moisture,Umidade
plant,Plantar
name,Nome
temperature,Temperatura
protects_against_low_temperatures,Protege contra temperaturas baixas
priority,Prioridade
speed,Velocidade
spoiled,Estragado
barley,Cevada
flax,Linho
grape_bush,Videira
oak,Carvalho
pea,Ervilha
culinary_ingredients,Ingredientes de culinária
fertilizers,Fertilizantes
resources,Recursos
seeds,Sementes
food,Alimentos
tools,Ferramentas
clothes,Roupas
containers,Recipientes
summer,Verão
autumn,Outono
winter,Inverno
spring,Primavera
woodcutting,Corte de madeira
mining,Mineração
hunting,Caça
harvesting,Colheita
planting,Planting
plowing,Arar
fishing,Pesca
hauling,Transporte
wooden_cart,Carroça de madeira
wooden_plow,Arado de madeira
copper_reaper,Foice de cobre
copper,Cobre
bronze,Bronze
iron,Ferro
manure,Adubo
wood,Madeira
charcoal,Carvão
stone,Pedra
clay,Barro
leather,Couro
copper_ore,Minério de cobre
tin_ore,Minério de estanho
iron_ore,Minério de ferro
crushed_copper_ore,Minério de cobre esmagado
crushed_tin_ore,Minério de estanho esmagado
crushed_iron_ore,Minério de ferro esmagado
fiber,Fibra
cloth,Tecido
yarn,Fio
woven_clothing,Roupas tecidas
dry_skin,Pele curada
raw_skin,Pele crua
mudbrick,Barraca de tijolo de barro
settler_corpse,Cadáver de colono
stone_sickle,Foice de pedra
copper_sickle,Foice de cobre
bronze_sickle,Foice de bronze
iron_sickle,Foice de ferro
stone_axe,Machado de pedra
copper_axe,Machado de cobre
bronze_axe,Machado de bronze
