key,translation
language_change_warning,"変更を有効にするには
ゲームを再起動してください"
language_name,Japanese
new_game,新規ゲーム
resume,一時停止
result,結果
language,言語
load_game,ロードゲーム
exit_to_desktop,デスクトップへ戻る
exit_to_main_menu,メインメニューへ戻る
save,セーブ
gather,収集
mine,採掘
mine_mine,採掘
chop,伐採
cut,収穫
chop_completely,完全に伐採
cut_completely,完全に収穫
сhop_automatically,自動伐採
cut_automatically,自動収穫
chop_now,すぐに伐採
cut_now,すぐに収穫
сhop_automatically_description,完全に成長した植物を自動的に伐採
сut_automatically_description,完全に成長した植物を自動的に収穫
hunt,狩猟
cancel,キャンセル
destruct,破壊
stone_tools,石の道具
charcoal_kiln,炭焼き窯
copper_smelting,銅の精錬
bronze_smelting,青銅の製錬
iron_smelting,鉄の製錬
time_machine,タイム・マシン
grain_processing,穀物加工
pottery,陶器
brewing,醸造
alcoholic_drinks,アルコール飲料
tanning,なめし革法
animals_domestication,動物家畜化
cheesemaking,チーズ製造
oven,かまど
agriculture,農業
fertilizing,施肥
weaving,織工
satiety,満腹度
energy,活力
health,体力
age,年齢
day,日数
settlers,移民
animals,動物
wall,壁
floor,路面
hut,小屋
production,製造
storage,貯蔵庫
level,レベル
defense,防御
bridge,桟橋
paleolithic,旧石器時代
mesolithic,中石器時代
neolithic,新石器時代
chalcolithic,金石併用時代
bronze_age,青銅器時代
iron_age,鉄器時代
fuel,燃料
burial,埋葬
consumption,消費
irrigation,灌漑
sowing,播種
irrigate,水まき
fertilize,肥料
technologies,技術
rest,休憩
work,労働
sleep,睡眠
happiness,幸福度
nutrition,栄養
time,時間
ingredients,材料
hours,時間
felling,伐採
gathering,収集
building,建物
farming,農業
supplying,供給
ranching,放牧
capacity,収容可能
resource,資源
required_technology,必要な技術
ration,配給
growth_speed,成長速度
growth_progress,成長経過
days,日間
food_drying,食品乾燥
fertilizer,肥料
None,なし
spinning,紡糸
new_settlers_arrived,新しい移民が到着
new_technologies_available,新技術が利用可能
required,必須
deposit,貯蔵量
recipe,レシピ
progress,進捗
crafting,クラフト
Pick,ツルハシ
copy_settings,設定コピー
value,価値
trade,取引
metallurgy,金属学
open,開く
close,閉じる
clone,複製
mechanisms,機械
experience_points,経験値
world_settings,ワールド設定
create,創造
back,戻る
world_with_that_name_already_exists,そのワールド名はすでに存在しています
world_name,ワールド名
world_size,ワールド・サイズ
cooking,調理
freshness,鮮度
durability,日持ち
season,季節
spoilage_rate,腐敗率
per_day,/日
soil,土壌
moisture,水分
plant,植物
name,名前
temperature,体温
protects_against_low_temperatures,低温保護
priority,優先度
speed,速度
spoiled,が腐敗
barley,大麦
flax,亜麻
grape_bush,ブドウの低木
oak,オーク
pea,えんどう豆
culinary_ingredients,料理の材料
fertilizers,肥料
resources,資源
seeds,種
food,食糧
tools,道具
clothes,衣類
containers,容器
summer,夏
autumn,秋
winter,冬
spring,春
woodcutting,木材切断
mining,採掘
hunting,狩猟
harvesting,収穫
planting,植付
plowing,耕起
fishing,魚釣り
hauling,運搬
wooden_cart,木製荷車
wooden_plow,木製のすき
copper_reaper,銅の刈り取り機
