key,translation
language_change_warning,"Bitte starten Sie das Spiel neu, damit die Änderungen wriksam werden. "
language_name,Deutsch
new_game,Neues Spiel
resume,Fortsetzen
result,Ergebnis
language,Sprache
load_game, Spiel laden
exit_to_desktop,Zurück zum Desktop
exit_to_main_menu,Zurück ins Hauptmenü
save,Speichern
gather,Sammeln
mine,Abbauen
mine_mine,Bergwerk
chop, Hacke
cut, Schneide
chop_completely,Vollständig hacken
cut_completely,Vollständig schneiden
сhop_automatically,Automatisch hacken
cut_automatically,Automatisch schneiden
chop_now,Jetzt hacken
cut_now,Jetzt schneiden
сhop_automatically_description,Automatisches Hacken der Pflanze nach vollem Wachstum
сut_automatically_description,Automatisches Schneiden der Pflanze nach vollem Wachstum
hunt,Jagen
cancel,Abbrechen
destruct,Zerstören
stone_tools,Steinwerkzeuge
charcoal_kiln,Holzkohleofen
copper_smelting,Kuper schmelzen
bronze_smelting,Bronze schmelzen
iron_smelting,Eisen schmelzen
time_machine,Zeitmaschine
grain_processing,Getreideverarbeitung
pottery,Keramik
brewing,Brauen
alcoholic_drinks,Alkoholische Getränke
tanning,Gerben
animals_domestication,Domestizierung von Tieren
cheesemaking,Käseherstellung
oven,Ofen
agriculture,Landwirtschaft
fertilizing,Düngen
weaving,Weben
satiety,Sätigung
energy,Energie
health,Gesundheit
age,Alter
day,Tag
settlers,Siedler
animals,Tiere
wall,Mauer
floor,Boden
hut,Hütte
production,Herstellung
storage,Lager
level,Level
defense,Verteidigung
bridge,Brücke
paleolithic,Paläolithikum
mesolithic,Mesolithikum
neolithic,Neolithikum
chalcolithic,Chalkolithikum
bronze_age,Bronzezeit
iron_age,Eisenzeit
fuel,Treibstoff
burial,Beerdigung
consumption,Verbrauch
irrigation,Bewässerung
sowing,Sähen
irrigate,Bewässern
fertilize,Düngen
technologies,Technologien
rest,Ausruhen
work,Arbeiten
sleep,Schlafen
happiness,Freude
nutrition,Nähwert
time,Zeit
ingredients,Zutaten
hours,Stunden
felling,Fällen
gathering,Sammeln
building,Bauen
farming,Landwirtschaft
supplying,Versorgung
ranching,Viehzucht
capacity,Kapazität
resource,Ressource
required_technology,Notwendige Technologie
ration,Ration
growth_speed,Wachstumsrate
growth_progress,Wachstumsfortschritt
days,Tage
food_drying,Trocknen von Lebensmitteln
fertilizer,Dünger
None,None
spinning,Spinnen
new_settlers_arrived,Ankuft neuer Siedler
new_technologies_available,Neue Technologien
required,Erforderlich
deposit,Vorkommen
recipe,Rezept
progress,Fortschritt
crafting,Fertigung
Pick,Spitzhacke
copy_settings,Einstellungen kopieren
value,Wert
trade,Tauschen
metallurgy,Metallurgie
open,Öffnen
close,Schließen
clone,Klonen
mechanisms,Mechanismen
experience_points,Erfahrungspunkte
world_settings,Welteinstellungen
create,Erstellen
back,Zurück
world_with_that_name_already_exists,Eine Welt mit diesem Namen existiert bereits
world_name,Name der Welt
world_size,Größe der Welt
cooking,Kochen
freshness,Frische
durability,Haltbarkeit
season,Jahreszeit
spoilage_rate,Verderblichkeitsrate
per_day,pro Tag
soil,Erde
moisture,Feuchtigkeit
plant,Pflanze
name,Name
temperature,Temperatur
protects_against_low_temperatures,Schützt vor niedrigen Temperaturen
priority,Priorität
speed,Geschwindigkeit
spoiled,Verdorben
barley,Gerste
flax,Flachs
grape_bush,Weinrebe
oak,Eiche
pea,Erbsen
