key,translation
language_change_warning,Veuillez redémarrer le jeu pour que les modifications soient prises en compte.
language_name,Français
new_game,Nouvelle Partie
resume,Continuer
result,Résultat
language,Langue
load_game,Charger Partie
exit_to_desktop,Retourner au Bureau
exit_to_main_menu,Retourner au Menu Principal
save,Sauvegarder
gather,Ramasser
mine,Miner
mine_mine,Mine
chop,Couper
cut,Tailler
chop_completely,Couper complètement
cut_completely,Tailler complètement
сhop_automatically,Couper automatiquement
cut_automatically,Tailler automatiquement
chop_now,Couper maintenant
cut_now,Tailler maintenant
сhop_automatically_description,Couper automatiquement la plante après sa pleine croissance
сut_automatically_description,Tailler automatiquement la plante après sa pleine croissance
hunt,Chasser
cancel,Annuler
destruct,Détruire
stone_tools,Outils en pierre
charcoal_kiln,Four à charbon
copper_smelting,Fonderie de cuivre
bronze_smelting,Fonderie de bronze
iron_smelting,Fonderie de fer
time_machine,Machine temporelle
grain_processing,Travail du grain
pottery,Poterie
brewing,Brassage
alcoholic_drinks,Boissons alcoolisées
tanning,Tannage
animals_domestication,Domestication des animaux
cheesemaking,Fabrication du fromage
oven,Four
agriculture,Agriculture
fertilizing,Fertilisation
weaving,Tissage
satiety,Satiété
energy,Energie
health,Santé
age,Âge
day,Jour
settlers,Colons
animals,Animaux
wall,Mur
floor,Sol
hut,Hutte
production,Production
storage,Stockage
level,Niveau
defense,Défense
bridge,Pont
paleolithic,Paléolithique
mesolithic,Mésolithique
neolithic,Néolithique
chalcolithic,Chalcolithique
bronze_age,Âge du Bronze
iron_age,Âge du Fer
fuel,Combustible
burial,Enterrement
consumption,Consommation
irrigation,Irrigation
sowing,Planter
irrigate,Arroser
fertilize,Fertiliser
technologies,Technologies
rest,Se reposer
work,Travailler
sleep,Dormir
happiness,Bonheur
nutrition,Alimentation
time,Temps
ingredients,Ingrédients
hours,Heures
felling,Abattage
gathering,Collecte
building,Construction
farming,Agriculture
supplying,Approvisionnement
ranching,Élevage
capacity,Capacité
resource,Ressource
required_technology,Technologie requise
ration,Ration
growth_speed,Vitesse croissance
growth_progress,Progression croissance
days,Jours
food_drying,Séchage des aliments
fertilizer,Engrais
None,None
spinning,Filage
new_settlers_arrived,Nouveau colon arrivé
new_technologies_available,Nouvelle technologie disponible
required,Requis
deposit,Dépôt
recipe,Recette
progress,Progrès
crafting,Artisanat
Pick,Pioche
copy_settings,Copier paramètres
value,Valeur
trade,Commercer
metallurgy,Métallurgie
open,Ouvrir
close,Fermer
clone,Cloner
mechanisms,Mécanismes
experience_points,Points d'expérience
world_settings,Paramètres du monde
create,Créer
back,Précédent
